record_id,site,timestamp,subgroup,predicted_probability,observed
A-001,Plant-A,2026-01-05T08:00:00Z,PLC,0.08,0
A-002,Plant-A,2026-01-19T08:00:00Z,HMI,0.18,0
A-003,Plant-A,2026-02-12T08:00:00Z,PLC,0.42,0
A-004,Plant-A,2026-03-03T08:00:00Z,Historian,0.61,1
B-001,Plant-B,2026-01-10T08:00:00Z,PLC,0.15,0
B-002,Plant-B,2026-02-02T08:00:00Z,HMI,0.33,0
B-003,Plant-B,2026-03-21T08:00:00Z,PLC,0.68,1
B-004,Plant-B,2026-04-14T08:00:00Z,Engineering-Station,0.77,1
C-001,Plant-C,2026-05-01T08:00:00Z,PLC,0.22,0
C-002,Plant-C,2026-05-15T08:00:00Z,HMI,0.49,1
C-003,Plant-C,2026-06-02T08:00:00Z,PLC,0.73,1
C-004,Plant-C,2026-06-20T08:00:00Z,Engineering-Station,0.88,1
